Student_ID,Department,Semester,Subject,Internal_Test1,Internal_Test2,Assignment_Marks,Attendance_Percentage,Final_Grade
1001,IT,6,Statistics,81,73,11,71,D
1002,AI&DS,5,DAA,84,74,16,67,A
1003,IT,6,DAA,45,42,19,81,A
1004,IT,5,ML,67,60,12,97,C
1005,AI&DS,6,DAA,67,43,16,76,B
1006,AI&DS,7,DAA,83,94,19,86,D
1007,IT,7,ML,83,85,18,86,C
1008,CSE,5,DAA,59,67,13,94,A
1009,IT,7,Python,69,73,10,72,B
1010,IT,7,DBMS,50,47,11,91,C
1011,IT,6,DBMS,67,73,10,91,B
1012,IT,5,ML,64,45,14,98,C
1013,AI&DS,6,Statistics,78,52,14,85,B
1014,IT,6,ML,72,58,16,94,A
1015,CSE,6,Statistics,40,79,18,97,D
1016,AI&DS,6,DBMS,66,65,18,92,A
1017,CSE,6,ML,52,46,12,97,D
1018,CSE,6,Python,80,93,12,69,B
1019,CSE,6,DAA,42,75,12,83,C
1020,CSE,5,Statistics,78,47,13,68,A
1021,AI&DS,7,DAA,45,63,17,99,D
1022,AI&DS,6,DAA,47,52,15,81,A
1023,CSE,6,ML,66,89,17,92,D
1024,CSE,6,DAA,48,57,10,94,A
1025,AI&DS,6,Python,76,74,17,93,D
1026,AI&DS,6,DAA,72,50,13,70,D
1027,AI&DS,6,ML,81,47,10,99,B
1028,IT,7,Python,83,57,17,88,D
1029,IT,7,DBMS,63,70,13,93,B
1030,IT,6,DAA,54,44,15,95,D
1031,CSE,7,ML,71,61,17,99,C
1032,IT,5,DBMS,71,77,13,97,C
1033,CSE,6,DBMS,63,60,12,85,C
1034,CSE,5,Statistics,80,67,18,96,D
1035,IT,5,Python,88,44,12,87,B
1036,CSE,6,DAA,88,60,18,97,B
1037,IT,7,ML,51,61,11,67,D
1038,IT,5,Statistics,78,73,11,82,C
1039,AI&DS,6,Python,41,48,11,89,C
1040,IT,5,Statistics,42,93,15,95,B
1041,AI&DS,5,Python,88,82,12,67,C
1042,IT,5,Python,76,74,18,88,A
1043,IT,5,DAA,88,81,13,96,B
1044,AI&DS,7,Python,56,80,10,86,C
1045,AI&DS,5,Statistics,88,59,13,87,B
1046,IT,5,Python,41,81,10,66,A
1047,CSE,5,DAA,41,42,14,91,B
1048,AI&DS,7,DAA,67,52,13,66,B
1049,CSE,5,Statistics,62,69,17,90,B
1050,CSE,5,DBMS,76,66,17,81,B
